opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,sector,year_established,revenue,employees,office_location,subsidiary_of,engage_day,engage_month,engage_year,engage_quarter,close_day,close_month,close_year,close_quarter,manager,regional_office,series,sales_price
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01 00:00:00.000000000,1054.00,retail,2001,718.62,2448,United States,Indépendant,Thursday,October,2016,4,Wednesday,March,2017,1,Dustin Brinkmann,Central,GTX,1096.00
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11 00:00:00.000000000,4514.00,medical,2002,3178.24,4540,United States,Indépendant,Tuesday,October,2016,4,Saturday,March,2017,1,Melvin Marxen,Central,Inconnu,1096.00
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07 00:00:00.000000000,50.00,retail,2001,718.62,2448,United States,Indépendant,Tuesday,October,2016,4,Tuesday,March,2017,1,Melvin Marxen,Central,MG,55.00
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09 00:00:00.000000000,588.00,software,1998,2714.90,2641,United States,Acme Corporation,Tuesday,October,2016,4,Thursday,March,2017,1,Dustin Brinkmann,Central,GTX,550.00
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02 00:00:00.000000000,517.00,services,1982,792.46,1299,United States,Indépendant,Tuesday,October,2016,4,Thursday,March,2017,1,Summer Sewald,West,GTX,550.00
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01 00:00:00.000000000,49.00,medical,1992,3922.42,6837,United States,Indépendant,Saturday,October,2016,4,Wednesday,March,2017,1,Dustin Brinkmann,Central,MG,55.00
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02 00:00:00.000000000,57.00,retail,1989,1388.67,3583,United States,Indépendant,Sunday,October,2016,4,Thursday,March,2017,1,Celia Rouche,West,MG,55.00
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07 00:00:00.000000000,601.00,entertainment,1993,4269.90,6472,United States,Massive Dynamic,Tuesday,November,2016,4,Tuesday,March,2017,1,Celia Rouche,West,GTX,550.00
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03 00:00:00.000000000,1026.00,medical,1984,441.08,1210,United States,Indépendant,Tuesday,November,2016,4,Friday,March,2017,1,Melvin Marxen,Central,GTX,1096.00
HAXMC4IX,James Ascencio,MG Advanced,Inconnu,Engaging,2016-11-03,2017-08-04 05:21:33.203883520,472.00,Inconnu,1995,1698.20,3492,Non spécifié,Indépendant,Thursday,November,2016,4,Friday,August,2017,3,Summer Sewald,West,MG,3393.00
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10 00:00:00.000000000,53.00,medical,2012,587.34,1356,Philipines,Indépendant,Friday,November,2016,4,Friday,March,2017,1,Dustin Brinkmann,Central,MG,55.00
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18 00:00:00.000000000,0.00,retail,2007,894.33,1635,Italy,Indépendant,Friday,November,2016,4,Saturday,March,2017,1,Melvin Marxen,Central,Inconnu,1096.00
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10 00:00:00.000000000,5169.00,marketing,2008,894.37,1593,Poland,Indépendant,Friday,November,2016,4,Friday,March,2017,1,Summer Sewald,West,GTX,5482.00
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06 00:00:00.000000000,4631.00,telecommunications,1999,1699.85,5108,United States,Indépendant,Friday,November,2016,4,Monday,March,2017,1,Summer Sewald,West,GTX,5482.00
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11 00:00:00.000000000,3393.00,employment,1988,2059.90,3644,United States,Indépendant,Saturday,November,2016,4,Saturday,March,2017,1,Celia Rouche,West,MG,3393.00
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03 00:00:00.000000000,0.00,telecommunications,1999,1699.85,5108,United States,Indépendant,Saturday,November,2016,4,Friday,March,2017,1,Celia Rouche,West,MG,55.00
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06 00:00:00.000000000,3284.00,software,1996,6354.87,16780,United States,Bubba Gump,Saturday,November,2016,4,Monday,March,2017,1,Celia Rouche,West,MG,3393.00
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05 00:00:00.000000000,61.00,telecommunications,1988,5266.09,8595,United States,Sonron,Sunday,November,2016,4,Sunday,March,2017,1,Dustin Brinkmann,Central,MG,55.00
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09 00:00:00.000000000,0.00,entertainment,1989,3838.39,8274,United States,Indépendant,Monday,November,2016,4,Thursday,March,2017,1,Rocco Neubert,East,Inconnu,1096.00
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08 00:00:00.000000000,46.00,telecommunications,1994,1188.42,3015,United States,Indépendant,Monday,November,2016,4,Wednesday,March,2017,1,Celia Rouche,West,MG,55.00
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17 00:00:00.000000000,0.00,retail,1990,4968.91,7523,United States,Indépendant,Monday,November,2016,4,Friday,March,2017,1,Summer Sewald,West,GTX,5482.00
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18 00:00:00.000000000,50.00,medical,1992,3922.42,6837,United States,Indépendant,Monday,November,2016,4,Saturday,March,2017,1,Dustin Brinkmann,Central,MG,55.00
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11 00:00:00.000000000,1014.00,finance,1993,646.10,883,United States,Golddex,Monday,November,2016,4,Saturday,March,2017,1,Cara Losch,East,GTX,1096.00
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26 00:00:00.000000000,561.00,services,1997,2041.73,5276,United States,Indépendant,Tuesday,November,2016,4,Sunday,March,2017,1,Melvin Marxen,Central,GTX,550.00
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23 00:00:00.000000000,590.00,entertainment,1992,324.19,978,United States,Indépendant,Thursday,November,2016,4,Thursday,March,2017,1,Summer Sewald,West,GTX,550.00
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,2017-07-29 18:49:00.845070336,472.00,retail,1995,5158.71,17479,Japan,Indépendant,Thursday,November,2016,4,Saturday,July,2017,3,Summer Sewald,West,MG,3393.00
